sira,score,mahkeme,daire,esas,kararno,tarih,sinyaller,kesit,konu
481,13.5,Danıştay,9,2024/1419,3853,2024-07-03,gebe×1 | travma×5 | cenin/düşük,"…ilik hizmeti sunduğu ... Demir Çelik Anonim Şirketinin vergi borçları nedeniyle müteselsil sorumlu sıfatıyla düzenlenen ... tarih ve ... sayılı ödeme emrinin iptali istemine ilişkindir. &nbsp; Bölge İdare Mahkemesi kararının özeti: Danıştay Dördüncü Dairesince, yetkili vergi dairesince düzenlenen ödeme emrinin iptali istemiyle açılan davada işin esasının incelenmesi gerektiği gerekçesiyle verilen boz…",ÖDEME EMRİNİN İPTALİ İSTEMİ - KAMU ALACAĞINDAN ASIL BORÇLUYLA BİRLİKTE MÜTESELSİLEN SORUMLU TUTULMASINDA HUKUKA AYKIRILIK BULUNMADIĞI AKSİ YÖNDEKİ GEREKÇEYLE ÖDEME EMRİNİ İPTAL EDEN BİM KARARINDA HUKU
482,13.5,Danıştay,9,2024/4106,5932,2024-11-05,gebe×1 | travma×5 | cenin/düşük,"…ilik hizmeti sunduğu ... Demir Çelik Anonim Şirketinin vergi borçları nedeniyle müteselsil sorumlu sıfatıyla düzenlenen ... tarih ve ... sayılı ödeme emrinin iptali istemine ilişkindir. Bölge İdare Mahkemesi kararının özeti: Danıştay Dördüncü Dairesince, yetkili vergi dairesince düzenlenen ödeme emrinin iptali istemiyle açılan davada işin esasının incelenmesi gerektiği gerekçesiyle verilen bozma kara…",DANIŞTAY KARARI
483,13.5,Danıştay,9,2024/5491,5954,2024-11-05,gebe×1 | travma×5 | cenin/düşük,"…mirlerinin iptali istemine ilişkindir. Bölge İdare Mahkemesi kararının özeti: Danıştay Dördüncü Dairesince, yetkili vergi dairesince düzenlenen ödeme emrinin iptali istemiyle açılan davada işin esasının incelenmesi gerektiği gerekçesiyle verilen bozma kararına uyularak dosyanın yeniden incelenmesi suretiyle, davacı hakkında düzenlenen sorumluluk raporunun incelenmesinden, dava konusu ödeme emri içeri…",DANIŞTAY KARARI
484,13.4,Yargıtay,1,2018/2984,7258,2021-04-20,gebe×14 | travma×2 | illiyet×6,"…erine yazılı şekilde TCK&rsquo;nin 39. maddesi kapsamında sorumlu tutularak eksik ceza tayini, &nbsp; b) &ndash; Sanık ...&rsquo;in bebeğin alınması, ölü doğum yaptırılması yönündeki teklifleri kabul etmemekle birlikte, teklif edilen para karşılığı bebeği canlı olarak doğurtarak diğer sanıklara teslim ettiği, Yüksek Sağlık Şurası kararına göre bu işlem sırasında tıbbi olarak yapması gerekenleri yapmadığı,…",KASTEN ÖLDÜRMEYE YARDIM ETME SUÇU - SANIĞIN EYLEMLERİNE UYAN GÖREVİ KÖTÜYE KULLANMA SUÇU YÖNÜNDEN GEREĞİNE TEVESSÜL EDİLMESİ YERİNE OLUŞA VE BİLİMSEL RAPORLARIN İÇERİKLERİNE UYGUN DÜŞMEYEN GEREKÇE İLE
485,13.3,Danıştay,10,2022/7055,7137,2024-12-26,gebe×1 | travma×6 | illiyet×1 | TCK 87/88,"…u ile tıbbi müdahalenin konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı 1219 sayılı Kanun'un üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı özel hastaneye, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden Bakanlıkça belirlenen form ile…",DANIŞTAY KARARI
486,13.3,Danıştay,10,2022/8891,7314,2024-12-27,gebe×1 | travma×6 | illiyet×1 | TCK 87/88,"…yenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün, dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
487,13.3,Danıştay,10,2022/6993,7136,2024-12-26,gebe×1 | travma×6 | illiyet×1 | TCK 87/88,"…onusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı, dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
488,13.3,Danıştay,10,2022/8220,7140,2024-12-26,gebe×1 | travma×6 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
489,13.3,A.Y.İ.M.,1,1998/289,52,1999-01-26,gebe×7 | travma×1 | illiyet×1 | TCK 87/88,"…suçlar ile kaçakçılık, resmi ihale ve alım-satımlara fesat karıştırma suçlarından birisinden mahkum olması, II- Firar, amir veya üste fiilen taarruz, emre itaatsizlikte ısrar, üste hakaret, mukavemet, fesat, isyan suçlan ile Askeri Ceza Kanununun 148 nci maddesinin (A) fıkrasında belirtilen suçlardan mahkum olmaması, III- Taksirli suçlar hariç olmak üzere, yukarıda (I) ve (Il)'de belirtilen suçların…",KADEME İLERLEMESİ YAPILMAMASI İŞLEMİNİN İPTALİ İSTEMİ - LİSANSÜSTÜ ÖĞRENİM KIDEMİNİN VERİLME USULÜ - DAVACININ DOKTORA ÖĞRENİMİ GÖRDÜĞÜ DALIN İNSANGÜCÜ TEMİN VE YETİŞTİRME PLANINDA GÖSTERİLMİŞ OLMASI 
490,13.2,A.İ.H.M.,2,2003/33860,,2013-07-09,gebe×2 | travma×7 | TCK 87/88,"…ertip olunacak ceza üçte birden yarıya kadar artırılır."" Madde 245 "" .zabıta ve ihzar memurları memuriyetlerini icrada ve mafevkinde bulunan amirinin emrini infazda kanun ve nizamın tayin ettiği ahvalde başka surette bir kimse hakkında suimuamele veya cismen eza verecek hale cüret eder yahut o kimseyi darp ve cerheylerse üç aydan üç seneye kadar hapis ve muvakkaten memuriyetten mahrumiyet cezaları il…",BOZDEMİR VE YEŞİLMEN - TÜRKİYE DAVASI
491,13.2,Yargıtay,2,2023/6675,3774,2024-05-23,gebe×4 | travma×2 | cenin/düşük,"…valı erkek vekili dava ve birleşen dava cevap dilekçelerinde özetle; kadının birlik görevlerine aykırı davrandığını, çocuk sahibi olmak istemediğini, düşük yapmadan önceki süreçte sigara kullanarak ve folik asit ilaçlarını düzenli içmeyerek gereken özeni göstermediğini, evle ilgili sorumluluklarını yerine getirmediğini, ailesinin hakaret ettiğini iddia ederek asıl davanın kabulüne birleşen davanın reddine,…",YARGITAY KARARI
492,13.1,Yargıtay,13,2012/24069,247,2013-01-14,gebe×5 | travma×1 | cenin/düşük,"…asında alınan beyanında, kendisine teslim edilen 7 adet inekten 5 adedinin gebe olduğunu kabul ederek, 2012/24069-2013/247 gebe ineklerden 4 adedinin düşük yaptığını, bu durumu veteriner hekime göstermediğini ve hayvanların kendisine geçmesinden sonra sigortalatmadığı için herhangi bir bildirimde bulunmadığını savunmuştur. Mahkemece davalının bu savunmasına itibar edilerek hüküm tesis edilmiş ise de, dosya…",YARGITAY KARARI
493,13.1,Yargıtay,13,1994/8557,2138,1994-03-04,gebe×7 | travma×6 | illiyet×5,"…i tazminatın ortaklaşa ve zincirleme davalılardan alınmasına karar verilmesini istemişlerdir. Davalılar; hastanın muayenesinde elde edilen bulgularla erken doğum yapma zorunluluğunun tespit edildiğini, doğumundan sonra 25-26 haftalık doğan bebeğin yaşama şansının az olduğunun, prematüre servisi olan fakülteye götürülebileceğinin hasta sahiplerine bildirdikleri halde kabul edilmediğini, bebeğin aspire edilip…",TAZMİNAT DAVASI - HATALI TEDAVİ NEDENİNE DAYALI TAZMİNAT İSTEMİ - ÖLMEYEN BİR BEBEĞE ÖLÜ RAPORU DÜZENLENİP VERİLDİĞİ - TIP BİLİMİNİN KABUL ETTİĞİ BÜTÜN KURALLARA UYGUN MÜDAHALE VE TEDBİRLER ALINARAK B
494,13.1,Yargıtay,9,2015/23057,21248,2018-11-22,gebe×5 | travma×1 | cenin/düşük,"…yına kadar aralıksız olarak çalıştığını, öncelikle 2009 yılında hamile iken kasa ve şarküteri olmak üzere iki reyona bakmaya zorlandığını, bu nedenle düşük yaptığını, daha sonra 2012 yılı haziran ayında 2. çocuğunun doğumundan sonra ise gece çalışması olarak tabir edilen 12:00-22:00 saatleri arasında çalışmaya zorlandığını, 08,00-18,00 saatleri arasında çalışmak istediğini belirten davacıya işe gelmemesini…",YARGITAY KARARI
495,12.9,Yargıtay,2,2020/1362,2238,2020-03-16,gebe×1 | travma×4 | cenin/düşük,"…t uyguladığı, devamlı ailesi ile birlikte yaşamaya zorladığı sağlık sorunları ile ilgilenmeyip hamile iken şiddet uygulaması sebebiyle eşinin iki kez düşük yapmasına neden olduğu gerekçesiyle asıl davanın reddi ile karşı davanın kabulü ile tarafların boşanmalarına ve ferilerine karar verilmiştir. Anılan karara karşı taraflarca temyiz kanun yoluna başvurulması üzerine, Dairemizin 05.02.2018 tarih 2016/10472…",YARGITAY KARARI
496,12.9,Yargıtay,9,2014/4384,15619,2014-05-13,gebe×1 | travma×4 | cenin/düşük,"…eçersiz kılınabilir. Bireysel veya toplu iş sözleşmesi ile altı aylık sürenin kısaltılması ya da tamamen kaldırılması mümkündür. Çünkü bu hüküm nisbi emredicidir. Söz konusu sürenin, işverenin bildirim süresine ait ücreti peşin vermek suretiyle iş sözleşmesini feshetmesi durumunda 17’nci maddedeki ihbar süreleri ile doldurulması mümkün değildir. Kanunda kıdemin esas alındığı haklarda, kıdem tazminatı…",YARGITAY KARARI
497,12.8,Danıştay,1,2019/1778,2039,2019-12-24,gebe×35 | travma×1 | illiyet×6,"…ri değerlendirmesi, sonuçta şüphelilerin lüzum-u muhakemeleri veya men-i muhakemeleri yönünde kanaatini belirterek düzenleyeceği fezlekeyi soruşturma emri veren makama teslim etmesi, yetkili kurulun da iddia konusu suçun şüphelilerle illiyet bağını irdelemek suretiyle bir karar vermesi gerekmektedir. &nbsp; Dosyanın incelenmesinden, şikayetçi Ş. K.&#39;ün gebelik takipleri farklı dış merkezlerde yapı…",MEN-İ MUHAKEME İSTEMİ - EKSİKLİKLER GİDERİLMEK SURETİYLE YENİDEN YAPILACAK SORUŞTURMA SONUCUNDA DÜZENLENECEK FEZLEKE GÖZ ÖNÜNE ALINARAK YETKİLİ KURULCA YENİ BİR KARAR VERİLMESİ GEREKTİĞİ - DOSYANIN KA
498,12.8,Yargıtay,3,2010/4084,9572,2012-03-13,gebe×2 | travma×3 | cenin/düşük,"…n hüküm temyiz edilmekle evrak okunarak; Gereği görüşülüp düşünüldü; Yerinde görülmeyen sair itirazların reddine.Ancak; 1)Katılan ...’nun darp sonucu düşük yaptığını beyan ettiği, darp sonrası düzenlenen ilk raporda gebelik şüphesinden bahsedildiği, katılan vekilinin dilekçesinde katılanın darp sonucu bebeğini kaybettiği ve bu hususların daha sonra sunacakları raporlar ile anlaşılacağını beyan ve iddia etm…",YARGITAY KARARI
499,12.8,Yargıtay,12,2018/1409,5929,2018-05-24,gebe×2 | travma×3 | cenin/düşük,"…r vermek üzere hemen işin gerçeğini araştırmaya başlar. Cumhuriyet savcısı, maddî gerçeğin araştırılması ve adil bir yargılamanın yapılabilmesi için, emrindeki adlî kolluk görevlileri marifetiyle, şüphelinin lehine ve aleyhine olan delilleri toplayarak muhafaza altına almakla ve şüphelinin haklarını korumakla yükümlüdür.” şeklindeki düzenleme karşısında, Cumhuriyet savcısının soruşturma yapmak zorund…",YARGITAY KARARI
500,12.8,Yargıtay,11,2024/2190,2314,2025-04-10,gebe×2 | travma×3 | cenin/düşük,"…talep etme hakkını haiz olduğunu, diğer bir deyişle seçimlik hakkın bu noktada intifa senetlerinin sahipleri üzerinde doğduğunu, fakat somut olayda, emrivaki ve hukuka aykırı bir şekilde bu hakkın birleşen şirketler tarafından intifa senedi sahiplerinin görüşüne dahi sunulmadan ve herhangi bir bildirimde bulunmaksızın kullanılmış ve devralan şirket bünyesinde eşdeğer haklar tanınması mümkün olmasına…",YARGITAY KARARI
501,12.7,Danıştay,10,2022/7937,7363,2024-12-27,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
502,12.7,Anayasa,GK,2014/253,,2015-01-09,gebe×1 | travma×3 | illiyet×2 | TCK 87/88,…Vekili: Av. Murat ÖZKAN 6. Başvurucu: Zeki MESTEN Vekili: Av. Kasım KUTBOĞA 7. Başvurucu: Hakan ÖZERGÜN Vekili: Av. Selçuk ÇELİK 8. Başvurucu: Mehmet Emrah KÜÇÜKAKÇA Vekili: Av. Murat ERGÜN 9. Başvurucu: Erkan DEMİR Vekili: Av. Celal ÜLGEN 10. Başvurucu: Tuna EROL Vekili: Av. Celal ÜLGEN 11. Başvurucu: Deniz Mehmet IRAK Vekili: Av. Celal ÜLGEN 12. Başvurucu: Burak ÇETİN Vekili: Av. Celal ÜLGEN 13. Ba…,ANAYASA MAHKEMESİNİN 9/1/2015 TARİHLİ VE 2014/253 SAYILI KARARI (BİREYSEL BAŞVURU)
503,12.7,Danıştay,10,2022/8274,7014,2024-12-26,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…konusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
504,12.7,Danıştay,10,2023/1245,7517,2024-12-30,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…yenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün, dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu altıncı cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
505,12.7,Danıştay,10,2023/881,7523,2024-12-30,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…onusu ve sonuçları hakkında muayenehanede bilgilendirileceğine ilişkin kısmı, dayanağı 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlenmiş olmakla birlikte, söz konusu cümlenin devamında ve dava konusu edilen kısmında, hastanın bilgilerinin tedavi olacağı tıp merkezine, Muayene Bilgi Yönetim Sistemi (MBYS) üzerinden gönderileceği de kurala bağlanmı…",DANIŞTAY KARARI
506,12.7,Danıştay,10,2022/7623,7361,2024-12-27,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
507,12.7,Danıştay,10,2022/8142,7366,2024-12-27,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
508,12.7,Danıştay,10,2022/7970,7365,2024-12-27,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
509,12.7,Danıştay,10,2022/7968,7364,2024-12-27,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
510,12.7,Danıştay,10,2022/7624,7362,2024-12-27,gebe×1 | travma×5 | illiyet×1 | TCK 87/88,"…ayenehanede bilgilendirileceği kısmına ilişkin olarak; söz konusu hükmün dayanağı olan 1219 sayılı Kanun'un 12. maddesinin üçüncü fıkrasında yer alan emredici hükme paralel olarak düzenlendiği anlaşılmakta olup, dava konusu düzenlemenin anılan kısmında hukuka ve üst hukuk kurallarına aykırılık bulunmamaktadır. 2) Bununla birlikte, dava konusu beşinci cümlenin devamında, hastanın bilgilerinin tedavi o…",DANIŞTAY KARARI
511,12.6,Yargıtay,9,2023/2570,2887,2023-05-09,gebe×4 | travma×1 | cenin/düşük,"…let Hastanesinden Van Yüzüncü Yıl Üniversitesi Dursun Odabaş Tıp Merkezine sevk edildiği, burada yapılan tetkikler sonucu mağdurenin hamile olduğu ve düşük yaptığı, mağdureden, suça sürüklenen çocuk'tan ve plesantadan alınan biyolojik numunelerin yapılan incelemesi sonucu Trabzon Adli Grup Başkanlığı tarafından düzenlenen 12.05.2020 tarihli raporda ...'ın %99,99 ihtimalle erkek ceninin biyolojik babası ola…",YARGITAY KARARI
